13:51:59-[DEBUG]: frameNo: 269, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 373, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 374, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 375, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 376, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 377, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 378, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 379, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 380, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 381, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 382, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 383, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 384, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 385, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 386, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 387, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 388, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 389, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 390, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 391, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 392, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 393, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 394, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 395, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 396, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 397, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 398, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 399, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 400, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 401, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 402, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 403, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 404, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 405, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 406, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 407, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 408, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 409, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 410, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 411, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 412, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 413, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 414, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 415, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 416, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 417, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 418, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 419, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 420, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 421, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 422, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 423, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 424, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 425, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 426, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 427, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 428, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 429, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 430, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 431, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 432, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 433, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 434, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:00-[DEBUG]: frameNo: 435, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:00-[DEBUG]: frameNo: 436, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 437, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 438, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 439, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 440, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 441, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 442, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 443, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 444, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 445, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 446, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 447, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 448, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 449, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 450, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 451, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 452, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 453, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 454, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 455, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 456, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 457, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 458, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 459, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 460, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 461, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 462, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 463, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 464, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 465, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 466, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 467, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 468, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 469, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 470, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 471, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 472, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 473, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 474, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 475, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:00-[DEBUG]: frameNo: 476, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 477, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:00-[DEBUG]: frameNo: 478, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 479, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 480, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 481, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 482, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 483, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 484, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 485, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 486, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 487, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 488, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 489, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 490, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 491, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 492, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 493, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 494, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 495, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 496, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 497, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 498, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 499, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 500, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 501, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 502, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 503, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 504, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 505, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 506, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 507, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 508, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 509, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 510, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 511, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 512, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 513, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 514, TS_ALG_MultibodyTrack_Processs: 6 ms            
13:52:01-[DEBUG]: frameNo: 515, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 516, TS_ALG_MultibodyTrack_Processs: 5 ms            
13:52:01-[DEBUG]: frameNo: 517, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 518, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 519, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 520, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 521, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 522, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 523, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 524, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 525, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 526, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 527, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 528, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 529, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 530, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 531, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 532, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 533, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 534, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 535, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 536, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 537, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 538, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 539, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 540, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 541, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 542, TS_ALG_MultibodyTrack_Processs: 7 ms            
13:52:01-[DEBUG]: frameNo: 543, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: frameNo: 544, TS_ALG_MultibodyTrack_Processs: 8 ms            
13:52:01-[DEBUG]: TS_ALG_MultibodyTrack_Processs: avg timecost 5.612132 ms  


// 100f timecost
12:18:49-[DEBUG]: track.predit all timecost: 11756 us                           
12:18:49-[DEBUG]: _nncosine_distance all timecost: 78674 us                     
12:18:49-[DEBUG]: cost_matrix all timecost: 112481 us                           
12:18:49-[DEBUG]: cost_matrix all timecost: 306 us                              
12:18:49-[DEBUG]: Solve all timecost: 8453 us                                   
12:18:49-[DEBUG]: matching_cascade all timecost: 146176 us                      
12:18:49-[DEBUG]: min_cost_matching all timecost: 1205 us                       
12:18:49-[DEBUG]: _match all timecost: 159163 us                                
12:18:49-[DEBUG]: tracks[track_idx].update all timecost: 26544 us               
12:18:49-[DEBUG]: _initiate_track all timecost: 2491 us                         
12:18:49-[DEBUG]: partial_fit all timecost: 2710 us                             
